,Regions,Regions_agr,Region_name,Objects_offices,Objects_shops,Objects_apartments,Objects_industry,Objects_schools,Objects_universitites,Poluation_UM,Population_6plus_UM,Population_BD,Population_AUT,Population_MET1,Population_MET2,Jobs_GUS,Jobs_AUT,Jobs_MET3,Jobs_MET4
177,178,A37,Solskiego,1426,4978,81596,80,0,0,1171,1084,0,1119,0,0,625,0,0,0
178,179,A37,Aleja Piastów,1734,1535,104681,51,335,0,1473,1388,1244,1433,461,452,645,591,609,339
179,180,180,Oporów,6613,10081,165779,2899,391,0,2361,2219,0,2290,0,0,1388,0,0,0
180,181,181,Wiejska,4693,1863,83475,6669,0,0,1954,1833,2488,2568,730,1052,689,1131,365,713
181,182,182,Kwiatkowskiego,7702,152,0,17257,0,0,0,0,0,0,0,0,1002,0,0,0
182,183,183,Giełda T-R,10767,35461,0,118,0,0,0,0,635,0,243,191,1341,435,400,217
183,184,A38,Karmelkowa,6,222,61443,212,329,0,847,774,0,799,0,0,226,0,0,0
184,185,A38,Klecina,1922,6375,78037,1893,0,0,1231,1103,3654,3772,991,1070,738,1435,609,661
185,186,186,Cukrowa,3024,864,118681,164,0,0,2155,1942,0,2004,0,0,591,0,0,0
186,187,187,Czekoladowa,680,511,187193,131,0,0,2156,2045,878,2111,208,104,541,321,382,87
187,188,188,Auchan rondo,100,100,0,1088,0,0,0,0,0,0,0,0,8,0,0,0
188,189,189,Auchan,68,6517,0,68,0,0,0,0,113,0,60,17,107,147,348,43
189,190,A52,Supińskiego,3561,9,3219,2275,0,0,41,41,1574,42,365,261,598,617,504,304
190,191,A52,Kobierzycka,6777,210,828,12362,0,0,24,24,0,24,0,0,312,0,0,0
191,192,A41,Karkonoska,14547,20231,37445,638,0,0,759,678,4028,699,1339,1566,1448,1278,930,1148
192,193,A40,Wyścigowa,12573,26763,55851,1779,0,0,498,476,2062,491,1000,783,1803,904,582,504
193,194,A40,Wojszycka,2127,5865,119229,106,324,0,1454,1388,1653,1706,730,548,861,582,452,356
194,195,A40,Krzyki,593,7520,126351,82,0,0,1620,1555,2418,1605,1017,539,1441,1044,1070,400
195,196,196,Os. Przyjaźni,1318,4032,211458,97,0,0,2273,2051,2314,2389,1131,843,643,965,843,565
196,197,197,Krzycka,890,1335,243047,273,0,0,3647,3139,3549,3664,617,443,1681,1409,870,478
197,198,A39,Racławicka,50,50,34788,451,0,0,503,421,4106,434,1609,1044,207,1540,1044,652
198,199,199,Wietrzna,1876,105,211021,420,0,0,3486,3145,0,3247,0,0,1081,0,0,0
199,200,A39,Skarbowców,17615,3551,102427,909,343,272,1547,1465,3149,1512,1209,1183,1211,1191,783,756
200,201,A52,Rędzińska,376,1242,41933,51,0,0,758,676,200,697,69,113,142,165,60,139
201,202,202,Maślice Małe,0,782,107119,137,0,0,1898,1727,3219,1783,826,765,373,1009,487,504
202,203,A50,Warciańska,37,286,11222,2,0,0,209,201,0,207,0,0,91,0,0,0
203,204,A50,Suwalska,557,1789,172,18,391,0,47,41,0,42,0,0,156,0,0,0
204,205,205,Maślice,498,3360,126470,7085,0,0,2485,2162,4872,2232,1766,1435,554,1235,800,626
205,206,A47,Hammilton Centrum,211,115,728,5085,0,0,13,11,1339,11,635,574,132,530,217,408
206,207,A47,Lubelska,1646,2335,53932,4578,173,0,1019,903,817,932,374,295,218,356,243,200
207,208,A47,Pracze Odrzańskie,1764,2239,60001,92,0,0,1155,1079,1000,1114,469,304,276,504,408,174
208,209,209,Rz. Łękawica,0,0,844,0,0,0,0,0,0,0,0,0,3,0,0,0
209,210,210,Janówek,5,5,0,432,0,0,0,0,0,0,0,0,0,0,0,0
210,211,A50,Glinianki,162,1065,16327,0,0,0,295,282,678,291,391,339,90,287,208,382
211,212,A50,Grabowa,61,61,19404,297,0,0,450,425,0,438,0,0,63,0,0,0
212,213,A50,WUWA2,441,441,2574,0,0,0,90,80,374,82,165,261,11,408,191,321
213,214,A50,Żernicka,0,0,471,0,0,0,9,9,321,9,191,156,1,339,243,156
214,215,215,Szpital Stabłowice,68,68,357,0,0,0,0,0,0,0,0,0,3507,0,0,0
215,216,A32,Kamiennogórska,1477,9,71311,111,31,0,1433,1309,2462,1351,548,661,622,704,243,504
216,217,217,Złotniki,19,2793,243921,540,379,0,3496,3276,2062,3382,426,269,916,565,556,139
217,218,218,Starogajowa,0,531,119591,74,324,0,1848,1748,1870,1930,548,365,527,722,530,321
218,219,219,Stabłowice Działki,267,267,168827,62,0,0,3822,3153,3793,3916,861,635,354,1096,626,443
219,220,A50,Stabłowice,8,1790,63330,10,0,0,910,845,0,872,0,0,226,0,0,0
220,221,221,Chwiałkowska,277,1848,165519,71,0,0,2497,2251,3410,2324,1148,991,834,722,548,495
221,222,222,Wel-Tex,6998,1944,168878,28287,141,0,2874,2465,1278,2544,591,722,1115,461,78,408
222,223,A50,Marszowice,99,119,29678,445,0,0,586,554,756,571,269,287,84,165,60,130
223,224,A50,Gwizdanowska,30,30,4532,10,0,0,27,25,939,25,330,304,4,435,200,278
224,225,A50,Marszowice cmentarz,792,26,2556,0,0,0,15,15,0,15,0,0,1,0,0,0
225,226,A50,Marszowice Malownicze,7,7,57125,10,0,0,884,754,0,778,0,0,207,0,0,0
226,227,A50,Las Mokrzański,0,336,8576,8,0,0,196,186,95,192,17,113,20,121,0,95
227,228,228,Krępicka,1287,1961,153260,1346,857,0,3446,3129,1670,3230,730,295,575,426,817,330
228,229,229,Jeleniogórska,434,2222,141546,802,0,0,2434,2300,548,2374,348,191,597,182,243,78
229,230,A31,Leśnica,5086,13810,71393,6768,0,0,1382,1299,1278,1341,461,530,792,435,452,374
230,231,A32,Wielkopolska,7104,2949,28724,13,0,0,632,595,0,614,0,0,147,0,0,0
231,232,A31,Skoczylasa/Rubczaka,61,1192,71327,114,0,0,1472,1384,652,1428,313,113,319,182,252,113
232,233,A50,Wojska Polskiego,0,0,2724,1306,0,0,45,43,0,44,0,0,3,0,0,0
233,234,234,Pustki,0,312,68189,133,0,0,1504,1417,1548,1598,835,756,648,530,426,504
234,235,A50,Mokrzańska,421,784,30376,42,0,0,772,726,0,749,0,0,116,0,0,0
235,236,236,Kresowa,0,0,0,0,0,0,0,0,278,0,113,226,0,43,0,165
236,237,237,Lutyńska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,238,A50,Żar,1,121,12350,1227,0,0,201,187,0,193,0,0,57,0,0,0
238,239,239,Las Ratyński,58,58,2468,10,0,0,0,0,0,0,0,0,1,0,0,0
239,240,A35,Ratyń,3,267,32403,39,0,0,461,413,1774,426,556,556,86,826,417,234
240,241,A35,Jarnołtów,644,938,28874,17,0,0,464,439,0,453,0,0,147,0,0,0
241,242,A35,Jerzmanowo,1296,1672,54041,4796,0,0,860,811,1322,837,539,478,332,574,269,400
242,243,A50,ZCh Złotniki,1044,789,1721,14707,0,0,38,37,330,38,113,147,150,208,104,95
243,244,A50,Jerzmanowska,896,59,679,10,0,0,16,15,0,15,0,0,39,0,0,0
244,245,A50,Jerzmanowska (Baza),6989,31014,558,2056,0,0,5,5,1044,5,495,678,1479,617,269,469
245,246,A50,Przybyły,6410,5144,5118,253,0,0,106,94,478,97,243,252,316,139,69,174
246,247,247,Żerniki,1115,3140,213613,3283,266,0,3779,3485,2175,3598,843,556,1113,1313,652,417
247,248,A36,Graniczna/Zagłoby,60,60,192,44,0,0,6,5,0,5,0,0,151,0,0,0
248,249,A36,Strachowicka,140,3229,10415,16,0,0,118,114,0,117,0,0,104,0,0,0
249,250,A35,Osiniec,54,1523,10607,25,0,0,178,168,0,173,0,0,38,0,0,0
250,251,A36,Rdestowa,699,72,2671,0,0,0,20,18,0,18,0,0,38,0,0,0
251,252,A36,Strachowice/Port Lotn.,6896,7637,23280,2776,0,0,384,364,3132,375,948,783,769,2296,1113,722
252,253,253,Graniczna/Rakietowa,103,0,413,26,0,0,0,0,704,0,208,313,298,617,348,313
253,254,A36,Tor Rakietowa,0,0,243,62,0,0,22,20,0,20,0,0,3,0,0,0
254,255,A41,Partynice,8154,6759,78329,117,0,0,1078,946,1827,1886,722,635,936,974,783,530
255,256,256,Maczka,948,4284,146878,49,0,0,2617,2279,17,2352,0,17,874,17,17,17
256,257,A42,Agrestowa,3055,3775,89132,587,0,0,1001,914,1792,1850,739,504,495,713,669,295
257,258,258,Strachowskiego,1119,3733,181251,172,0,0,2034,1889,7508,1950,2827,1905,1179,1879,1209,965
258,259,259,Kurpiów,270,1139,187920,189,444,0,2153,1944,1540,2007,530,356,732,443,400,243
259,260,A42,Ołtaszyn,510,1366,131984,1047,0,0,1713,1600,2453,1651,1348,991,604,765,626,643
260,261,261,Wojszyce,3270,6988,155867,114,329,0,2100,1930,8831,1992,3088,2636,828,2218,1670,1444
261,262,262,Parafialna,807,638,223100,151,0,0,2865,2549,1905,2631,522,478,817,678,635,321
262,263,A42,Roweckiego-Grota,182,3799,72054,277,0,0,813,724,3297,747,1226,1305,439,1131,539,783
263,264,A43,Lamowice,36,2356,17968,19,0,0,184,170,0,175,0,0,82,0,0,0
264,265,A43,Asfaltowa,1372,4316,10289,158,0,0,220,187,365,376,113,121,132,165,78,87
265,266,266,Vivaldiego,29,1568,191729,96,0,0,3483,2844,1148,2936,643,704,655,495,87,461
266,267,A43,Jagodno,55,6423,100753,187,0,0,1700,1479,0,1526,0,0,418,0,0,0
267,268,A43,Buforowa,1618,2665,0,6786,0,0,1,1,1557,1,582,643,381,722,287,408
268,269,269,Wileńska,358,2096,91236,65,0,0,2544,2280,2009,2353,1044,1035,247,582,408,461
269,270,270,Brochów,611,2532,129800,1436,311,0,3246,2886,0,2979,0,0,1146,0,0,0
270,271,A44,Koreańska,39,1012,87006,155,0,0,1561,1462,0,1509,0,0,335,0,0,0
271,272,A44,Bieńkowice,1179,429,27768,1321,0,0,494,470,0,485,0,0,214,0,0,0
272,273,A22,Brochowska,6446,3943,1181,26,0,0,24,23,1948,23,261,252,150,1174,661,295
273,274,A22,Tyska,1063,32315,5128,21945,0,0,190,184,0,189,0,0,787,0,0,0
274,275,A22,Popielskiego,2812,4562,50029,17881,0,0,1017,842,2105,2173,730,469,942,696,461,234
275,276,A21,Księże Wielkie,36,1580,40032,22,0,0,819,765,678,789,269,104,191,356,356,87
276,277,A21,Księże Małe,4232,12185,56059,2625,248,0,1075,956,43,987,17,17,830,43,17,0
277,278,278,Karwińska/Krakowska,12260,1883,0,329,0,0,0,0,3436,0,1235,1392,917,1914,1270,774
278,279,A52,Bierdzany/Wilcza/park Wschodni,4083,85,3636,6458,0,0,64,63,287,65,121,200,91,530,348,147
279,280,A52,Świątniki/Nowy Dom,1094,766,5817,383,0,0,87,86,1888,88,730,426,29,591,800,252
280,281,A52,Opatowice,909,1146,9126,20,0,0,90,86,95,98,69,78,299,69,17,87
281,282,A20,CH. Korona,603,86280,7618,1354,0,0,57,55,687,56,234,217,616,522,435,182
282,283,A20,Mirowiec,3267,15014,59195,1134,0,0,959,896,539,925,252,217,734,522,565,226
283,284,A20,Kościerzyńska,1495,6268,620,18045,0,0,5,5,609,5,261,539,401,669,504,582
284,285,A20,Kowalska/Kwidzyńska,18,18,2869,10,0,0,58,58,0,59,0,0,38,0,0,0
285,286,286,Kowale,3761,5538,72455,2209,135,0,1161,1080,0,1115,0,0,1315,0,0,0
286,287,A19,Kowalska/3M,3460,75,987,137684,0,0,30,28,0,28,0,0,1234,0,17,0
287,288,A19,Volvo,33463,7739,1508,86099,0,0,37,33,478,34,243,182,4659,565,574,234
288,289,289,Kowalska/3M,2179,545,0,67027,0,0,0,0,226,0,104,95,502,1078,652,165
289,290,A19,Swojczyce,1521,1553,32386,2037,0,0,430,406,200,419,17,43,191,348,147,69
290,291,A19,Betonowa,1235,832,48396,9449,0,0,862,697,2131,2200,609,495,420,1113,574,269
291,292,292,Strachocin,694,2452,187665,1033,0,0,2618,2442,687,2521,165,121,921,243,261,60
292,293,A7,Wojnów,231,3085,119391,193,260,0,1626,1539,0,1588,0,0,685,0,0,0
293,294,A7,Perkusyjna,0,0,32450,19,0,0,695,600,0,619,0,0,106,0,0,0
294,295,A19,Wschodnia/Bartnicza,887,0,3075,14,0,0,70,67,243,69,78,78,35,174,87,78
295,296,A18,Mroźna,279,0,17839,261,0,0,262,255,287,296,69,104,94,339,217,156
296,297,A18,Zgorzelisko,83,1416,73892,0,0,0,1210,1130,1879,1166,330,182,355,617,348,113
297,298,A18,Kiełczowska/Szewczenki,0,0,1949,8,0,0,10,10,382,10,200,269,5,174,52,165
298,299,299,Litewska,72,6882,311826,373,684,0,8103,7615,2592,7862,722,330,1569,783,878,243
299,300,300,Psie Pole,2784,6409,105432,90,260,0,2679,2558,7125,2640,2836,3001,843,1879,1270,1566
300,301,A18,PZL Hydral/LZN,70338,14,3069,41852,0,0,78,72,139,74,113,52,1075,43,60,52
301,302,302,Cm. Kiełczowski,861,1442,0,43606,0,0,0,0,1592,0,504,574,38,1574,870,765
302,303,A53,Łącznik Długołęka/Odolano,65,1139,47978,57,0,0,923,758,1052,1086,330,435,155,522,156,487
303,304,304,Osiedla Sobieskiego,222,3239,246864,512,564,0,6068,5370,8117,5544,3367,2888,974,2340,1444,1574
304,305,305,Zakrzów,10126,7214,177945,2547,27,0,3334,3139,617,3240,234,78,2034,278,252,78
305,306,A27,Polar,12679,1787,27715,136622,0,0,591,549,3515,566,1270,1270,4274,1731,870,1113
306,307,A27,Piwnika-Ponurego,74,74,19171,0,0,0,595,568,0,586,0,0,78,0,0,0
307,308,308,Pawłowice,1060,986,134502,2109,134,0,2177,2042,800,2108,269,165,450,313,191,182
308,309,309,Węzeł Pawłowice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,310,310,Starodębowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,311,A27,Kłokoczyce,165,485,24360,1199,0,0,415,384,2018,396,617,487,184,617,487,478
311,312,A26,Poprzeczna,2031,3369,46542,13490,0,0,1265,1102,896,1137,495,574,637,295,313,348
312,313,313,Sołtysowice,316,1462,163166,1011,288,0,2418,2238,896,2310,217,208,942,591,539,234
313,314,A25,Polanowice,609,1384,60369,46,0,0,964,893,1191,1229,295,295,389,417,182,243
314,315,A49,Węzeł Widawa,21019,14962,708,23609,0,0,19,19,1139,19,600,974,849,1531,1191,965
315,316,A49,Centrostal,4263,15280,8401,3735,0,0,205,190,461,196,78,147,770,391,287,113
316,317,317,Cholewkarska,48,1269,574,84,0,0,1,0,0,0,0,0,13,0,0,0
317,318,A28,Widawa,3394,9352,65729,2240,0,0,877,839,1809,866,591,904,387,591,426,730
318,319,A28,Kominiarska,1736,6513,38818,2661,0,0,811,729,0,752,0,0,436,0,0,0
319,320,A29,Lipa Piotrowska,4,4573,18603,976,0,0,396,373,0,385,0,0,164,0,0,0
320,321,A29,Kminkowa,555,87,65938,20,0,0,1123,913,339,942,113,52,211,217,165,17
321,322,322,Zalipie,13,13,703,0,0,0,0,0,0,0,0,0,0,0,0,0
322,323,A52,Świnary,1248,757,37586,1409,38,0,721,677,2070,698,774,565,195,626,504,461
323,324,324,Wrzosowa,0,0,0,0,0,0,0,0,0,0,0,43,0,34,17,43
324,325,325,Kaczeńcowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,326,A52,Rędzin,32,452,17904,32,0,0,290,273,443,281,139,356,54,121,52,365
326,327,A52,Las Rędziński,0,0,733,12,0,0,4,4,461,4,234,243,0,191,130,139
327,328,328,Zapotocze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,329,A52,Lesica,0,0,933,369,0,0,16,13,17,13,43,69,3,26,17,17
329,330,330,Las Lesicki,0,0,167,0,0,0,0,0,365,0,130,226,0,200,87,208
330,331,A13,Podwale/Sądy,66316,411,60421,53,305,0,1094,1049,948,1083,469,443,3347,783,1470,400
331,332,A13,Plac Legionów,25418,241,42442,5027,0,0,837,799,1461,824,652,835,1242,983,965,722
332,333,333,Pułaskiego,18885,4768,225684,57,0,0,3137,2957,2644,3052,1157,800,1673,783,1209,417
333,334,A55,Most Szczytnicki,2545,6054,149471,226,0,1086,1475,1455,1975,2039,878,843,540,1252,1226,678
334,335,335,Krucza,0,3734,164082,190,2693,0,3952,3780,7586,3902,2992,1748,1262,2244,2244,861
335,336,336,Skwierzyńska,410,204,115098,59,768,0,2293,2185,1026,2255,269,200,665,617,835,278
336,337,A45,Ziębicka,24148,5297,58119,23416,0,0,1337,1260,791,1300,278,252,6033,878,756,234
337,338,338,Nyska,9382,6272,142565,9981,266,0,2116,1807,4063,4194,1487,1670,2672,2497,1879,1139
338,339,A48,Arkady,258367,10853,10731,70,0,0,136,131,1661,135,704,1418,693,2096,1835,1296
339,340,340,Trzebnicka,15161,28132,163121,397,287,272,4187,3977,3923,4106,1070,435,1663,1653,1322,295
340,341,341,Drobnera,1682,15083,115476,103,200,0,2130,2022,1409,2087,417,174,1147,913,896,200
341,342,342,Pl. Bema,30766,2906,161643,448,51,0,2544,2384,4306,2461,2070,1313,1863,1766,2175,765
342,343,343,Pl. Powstańców Wlkp.,6462,37,104948,513,0,0,2417,2291,1879,2365,548,174,2761,774,791,217
343,344,344,Pl. Staszica,7926,7156,90829,614,279,0,2451,2311,2227,2385,722,261,774,669,904,182
344,345,A12,UWr/Pl. Maksa Borna,3663,3388,48852,308,0,2316,1036,991,1209,1248,617,661,303,1087,1157,513
345,346,346,Balonowa,1832,10101,102997,23942,183,0,2200,2060,4654,2126,1844,1287,1113,1331,1052,756
346,347,347,Trawowa,48,48,148026,177,0,0,2856,2565,704,2648,208,147,473,321,182,43
347,348,A33,Gagarina,1388,8466,84215,1113,0,0,1422,1196,0,1234,0,0,375,0,0,0
348,349,349,Kunickiego,3886,710,119566,10215,0,0,2119,1882,2932,1943,965,1070,571,1218,652,783
349,350,A10,Plac Solny,123510,42043,82450,568,0,339,1037,987,1139,1175,408,200,9278,1714,2035,182
350,351,A11,Opera,46655,38530,37158,264,286,0,339,328,2262,338,800,1383,3050,3236,4010,1191
351,352,A16,Tęczowa,16765,19066,72611,5071,566,0,1378,1319,3262,1361,1218,1409,792,2862,2949,1122
352,353,353,Na Ostatnim Groszu,661,791,120002,102,823,0,2878,2729,2209,2817,1017,1096,868,756,635,826
353,354,354,Kiełczowska,5054,11826,0,26774,0,0,0,0,0,0,0,0,414,0,0,0
354,355,355,Gorlicka,898,2192,212873,2178,826,0,3994,3394,2253,3504,591,365,1094,739,582,234
355,356,A18,Zielna,160,8586,62068,80,0,0,1295,1199,1583,1634,374,191,658,478,408,304
356,357,A24,Falzmanna,3417,171,80633,1223,0,0,1747,1568,2035,2101,1139,870,314,374,435,495
357,358,358,Mickiewicza,1305,2,103551,77,0,0,2140,2025,1757,2090,461,191,696,539,452,121
358,359,359,Dembowskiego,0,586,135212,196,415,0,2833,2671,2279,2757,1174,774,956,374,495,365
359,360,360,Gersona,0,5429,103450,157,437,0,2619,2491,0,2571,0,0,515,0,0,0
360,361,A21,Rybnicka,2554,5418,48300,7263,0,0,654,603,0,622,0,0,391,0,0,0
361,362,A21,Katowicka,0,4196,73674,149,0,0,1920,1798,0,1856,0,0,354,0,0,0
362,363,363,Plac Zgody,495,9984,243606,699,0,0,4619,4400,2992,4542,1278,983,881,1009,704,426
363,364,A17,Plac Strzegomski,68050,3089,88855,3118,213,0,1945,1852,1305,1912,461,617,1799,1583,1679,478
364,365,365,Królewiecka,0,2578,133574,371,0,0,1977,1670,0,1724,0,0,462,0,0,0
365,366,366,Jelenia,3188,2963,141816,236,552,0,4411,4226,774,4363,287,78,1082,269,400,95
366,367,367,Piastowska,3825,601,216416,69,0,0,4747,4514,2349,4660,730,295,1141,826,1000,243
367,368,368,Prusa/Walecznych,5790,0,171776,3041,0,0,2731,2574,3645,3763,1635,1070,4142,1104,922,478
368,369,369,Ogródki Działkowe Bujwida,56,56,194,0,0,0,0,0,504,0,121,69,1,234,304,43
369,401,A37,Cmentarz Grabiszyński,92,174,2193,702,0,0,19,19,756,19,234,104,13,643,574,78
370,404,404,PolZug,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,451,A54,Wittiga Akademiki Teki,0,0,47708,41,0,0,1478,1478,2566,1525,1261,1139,58,626,539,530
372,452,A54,Pauscha Akademiki UP,0,0,19030,0,0,0,55,55,3715,56,1653,1218,11,948,678,574
373,453,A57,Kamienna Akademiki UE,2489,234,17858,361,0,5189,448,448,2062,462,896,861,3536,1687,2314,643
374,454,A56,Wojciecha z Brudzewa Akademiki,0,0,4701,10,0,0,628,628,0,648,0,0,5,0,0,0
