source_region,dom,inne,praca,szkoła,uczelnia
1.0,152.0,23.0,5.0,1.0,0.0
2.0,50.0,12.0,14.0,0.0,3.0
3.0,35.0,8.0,8.0,0.0,1.0
4.0,127.0,28.0,2.0,1.0,0.0
5.0,38.0,11.0,12.0,0.0,2.0
6.0,29.0,7.0,3.0,1.0,0.0
7.0,9.0,7.0,3.0,0.0,0.0
8.0,9.0,3.0,0.0,3.0,0.0
9.0,8.0,1.0,2.0,0.0,0.0
10.0,24.0,12.0,3.0,5.0,0.0
11.0,12.0,11.0,10.0,1.0,0.0
12.0,3.0,9.0,10.0,4.0,0.0
13.0,22.0,12.0,5.0,2.0,4.0
14.0,54.0,13.0,15.0,1.0,2.0
15.0,15.0,16.0,12.0,7.0,5.0
16.0,24.0,15.0,16.0,9.0,5.0
17.0,19.0,2.0,0.0,0.0,0.0
18.0,32.0,6.0,2.0,1.0,0.0
19.0,22.0,14.0,20.0,5.0,6.0
20.0,18.0,25.0,25.0,11.0,3.0
21.0,58.0,11.0,2.0,0.0,0.0
22.0,25.0,17.0,10.0,3.0,2.0
23.0,18.0,24.0,9.0,1.0,2.0
24.0,26.0,24.0,11.0,4.0,2.0
25.0,11.0,6.0,7.0,2.0,2.0
26.0,35.0,31.0,15.0,5.0,5.0
27.0,36.0,12.0,12.0,1.0,6.0
28.0,87.0,11.0,8.0,1.0,2.0
29.0,38.0,8.0,2.0,0.0,1.0
30.0,137.0,24.0,5.0,1.0,2.0
31.0,9.0,2.0,5.0,0.0,3.0
32.0,24.0,13.0,21.0,6.0,3.0
33.0,1.0,11.0,12.0,4.0,1.0
34.0,24.0,26.0,14.0,8.0,0.0
35.0,77.0,41.0,25.0,7.0,5.0
36.0,23.0,25.0,23.0,6.0,5.0
37.0,10.0,3.0,3.0,1.0,1.0
38.0,21.0,21.0,13.0,8.0,4.0
39.0,27.0,41.0,21.0,8.0,1.0
40.0,31.0,21.0,17.0,9.0,4.0
41.0,4.0,0.0,1.0,0.0,0.0
42.0,8.0,5.0,6.0,4.0,0.0
43.0,3.0,2.0,1.0,1.0,0.0
44.0,43.0,0.0,0.0,0.0,0.0
45.0,2.0,2.0,2.0,0.0,0.0
46.0,13.0,14.0,11.0,3.0,2.0
47.0,38.0,36.0,13.0,5.0,7.0
48.0,24.0,17.0,15.0,5.0,0.0
49.0,31.0,9.0,9.0,4.0,0.0
50.0,13.0,19.0,18.0,2.0,2.0
51.0,4.0,4.0,1.0,0.0,1.0
52.0,13.0,5.0,0.0,0.0,0.0
53.0,32.0,5.0,2.0,1.0,0.0
54.0,23.0,57.0,21.0,2.0,2.0
55.0,23.0,4.0,8.0,1.0,0.0
56.0,9.0,0.0,0.0,0.0,0.0
57.0,26.0,21.0,11.0,5.0,3.0
58.0,22.0,11.0,6.0,1.0,3.0
59.0,23.0,8.0,13.0,2.0,2.0
60.0,45.0,19.0,7.0,1.0,1.0
61.0,17.0,26.0,25.0,2.0,6.0
62.0,42.0,24.0,12.0,5.0,1.0
63.0,25.0,1.0,0.0,0.0,0.0
64.0,22.0,0.0,2.0,0.0,0.0
65.0,17.0,49.0,45.0,19.0,3.0
66.0,43.0,27.0,15.0,8.0,1.0
67.0,37.0,19.0,11.0,2.0,2.0
68.0,48.0,8.0,4.0,0.0,0.0
69.0,7.0,6.0,12.0,3.0,0.0
70.0,41.0,5.0,4.0,1.0,0.0
71.0,8.0,0.0,1.0,1.0,0.0
72.0,7.0,2.0,2.0,0.0,0.0
73.0,32.0,5.0,0.0,0.0,0.0
74.0,2.0,8.0,11.0,1.0,0.0
75.0,2.0,4.0,6.0,0.0,1.0
76.0,10.0,0.0,1.0,0.0,0.0
77.0,12.0,9.0,2.0,1.0,0.0
78.0,5.0,7.0,10.0,6.0,3.0
79.0,5.0,7.0,6.0,1.0,1.0
80.0,19.0,23.0,11.0,0.0,6.0
81.0,4.0,9.0,12.0,3.0,2.0
82.0,3.0,2.0,1.0,0.0,0.0
83.0,9.0,23.0,10.0,1.0,9.0
84.0,4.0,10.0,10.0,1.0,0.0
85.0,5.0,6.0,6.0,0.0,1.0
86.0,7.0,3.0,0.0,0.0,0.0
87.0,2.0,6.0,2.0,0.0,1.0
88.0,1.0,2.0,3.0,0.0,0.0
89.0,10.0,8.0,1.0,0.0,0.0
90.0,4.0,19.0,20.0,8.0,1.0
91.0,23.0,6.0,9.0,1.0,2.0
92.0,9.0,2.0,0.0,0.0,0.0
93.0,12.0,5.0,9.0,2.0,0.0
94.0,10.0,13.0,3.0,1.0,0.0
95.0,3.0,15.0,1.0,0.0,0.0
96.0,19.0,4.0,1.0,0.0,0.0
97.0,6.0,0.0,0.0,0.0,0.0
98.0,10.0,9.0,5.0,0.0,0.0
99.0,3.0,3.0,3.0,1.0,0.0
100.0,13.0,4.0,3.0,0.0,1.0
101.0,4.0,11.0,2.0,2.0,0.0
102.0,17.0,4.0,2.0,2.0,0.0
103.0,6.0,6.0,1.0,0.0,0.0
104.0,2.0,0.0,1.0,0.0,0.0
105.0,9.0,5.0,3.0,0.0,0.0
106.0,11.0,2.0,0.0,0.0,0.0
107.0,19.0,1.0,0.0,0.0,0.0
108.0,3.0,1.0,2.0,1.0,0.0
109.0,9.0,0.0,7.0,0.0,1.0
110.0,21.0,2.0,0.0,0.0,0.0
112.0,2.0,0.0,6.0,3.0,0.0
113.0,8.0,2.0,2.0,0.0,0.0
115.0,6.0,4.0,1.0,0.0,0.0
116.0,31.0,10.0,17.0,8.0,3.0
117.0,14.0,13.0,10.0,3.0,2.0
118.0,3.0,1.0,2.0,1.0,0.0
119.0,14.0,5.0,3.0,4.0,0.0
120.0,127.0,6.0,2.0,3.0,2.0
121.0,16.0,26.0,7.0,7.0,0.0
122.0,2.0,3.0,2.0,0.0,0.0
123.0,18.0,4.0,0.0,0.0,0.0
124.0,24.0,3.0,0.0,0.0,0.0
125.0,14.0,1.0,3.0,0.0,0.0
126.0,34.0,1.0,2.0,0.0,0.0
127.0,7.0,1.0,0.0,0.0,0.0
128.0,7.0,16.0,5.0,6.0,3.0
129.0,9.0,4.0,3.0,4.0,0.0
130.0,24.0,18.0,0.0,0.0,0.0
131.0,5.0,6.0,3.0,0.0,0.0
132.0,4.0,4.0,1.0,0.0,0.0
133.0,38.0,4.0,0.0,0.0,0.0
134.0,2.0,4.0,8.0,1.0,0.0
135.0,26.0,16.0,7.0,0.0,0.0
136.0,14.0,3.0,2.0,0.0,0.0
137.0,7.0,11.0,16.0,6.0,4.0
138.0,7.0,15.0,10.0,0.0,1.0
139.0,16.0,3.0,22.0,4.0,2.0
140.0,43.0,1.0,1.0,2.0,2.0
141.0,8.0,14.0,23.0,3.0,7.0
142.0,9.0,27.0,13.0,4.0,7.0
143.0,36.0,26.0,26.0,12.0,3.0
144.0,23.0,20.0,9.0,3.0,4.0
145.0,6.0,2.0,0.0,0.0,0.0
146.0,13.0,3.0,6.0,1.0,0.0
147.0,4.0,2.0,7.0,5.0,0.0
148.0,13.0,28.0,12.0,0.0,0.0
149.0,11.0,15.0,14.0,5.0,0.0
150.0,27.0,27.0,27.0,6.0,1.0
151.0,7.0,1.0,9.0,3.0,3.0
152.0,7.0,2.0,0.0,0.0,0.0
153.0,14.0,18.0,12.0,10.0,0.0
154.0,24.0,21.0,13.0,9.0,3.0
155.0,10.0,4.0,1.0,0.0,0.0
156.0,13.0,5.0,2.0,1.0,0.0
157.0,5.0,0.0,0.0,1.0,0.0
158.0,57.0,11.0,7.0,0.0,0.0
159.0,1.0,1.0,1.0,1.0,0.0
160.0,9.0,9.0,5.0,0.0,0.0
161.0,11.0,1.0,3.0,0.0,0.0
162.0,0.0,0.0,4.0,1.0,0.0
163.0,54.0,40.0,24.0,10.0,0.0
164.0,27.0,26.0,25.0,8.0,0.0
165.0,12.0,29.0,11.0,1.0,1.0
166.0,20.0,0.0,0.0,0.0,0.0
167.0,0.0,0.0,1.0,0.0,0.0
168.0,13.0,19.0,9.0,2.0,1.0
169.0,16.0,29.0,16.0,6.0,3.0
170.0,1.0,0.0,0.0,0.0,0.0
171.0,25.0,5.0,8.0,4.0,0.0
172.0,4.0,0.0,2.0,0.0,0.0
173.0,7.0,4.0,1.0,0.0,0.0
174.0,9.0,2.0,2.0,0.0,0.0
175.0,4.0,4.0,5.0,4.0,0.0
177.0,2.0,0.0,0.0,0.0,0.0
178.0,1.0,4.0,5.0,3.0,0.0
179.0,2.0,7.0,7.0,0.0,0.0
180.0,8.0,5.0,12.0,6.0,0.0
181.0,0.0,0.0,1.0,0.0,0.0
182.0,3.0,4.0,0.0,0.0,0.0
183.0,9.0,0.0,0.0,0.0,0.0
184.0,2.0,0.0,5.0,0.0,0.0
185.0,8.0,2.0,2.0,0.0,0.0
186.0,3.0,0.0,0.0,0.0,0.0
187.0,2.0,0.0,0.0,0.0,0.0
189.0,5.0,0.0,0.0,0.0,0.0
190.0,1.0,0.0,1.0,0.0,0.0
192.0,8.0,4.0,5.0,1.0,0.0
193.0,2.0,7.0,2.0,1.0,1.0
194.0,10.0,4.0,7.0,0.0,1.0
195.0,11.0,3.0,3.0,3.0,0.0
196.0,5.0,0.0,7.0,4.0,3.0
197.0,3.0,1.0,0.0,1.0,0.0
198.0,8.0,1.0,4.0,0.0,0.0
199.0,8.0,2.0,11.0,10.0,4.0
200.0,3.0,5.0,4.0,0.0,2.0
201.0,0.0,0.0,0.0,1.0,0.0
202.0,1.0,2.0,8.0,0.0,0.0
203.0,0.0,2.0,1.0,0.0,0.0
204.0,7.0,2.0,2.0,0.0,0.0
205.0,6.0,2.0,7.0,4.0,0.0
206.0,3.0,1.0,0.0,0.0,0.0
207.0,2.0,3.0,5.0,0.0,0.0
208.0,1.0,3.0,2.0,3.0,0.0
211.0,0.0,0.0,2.0,2.0,0.0
212.0,1.0,4.0,1.0,0.0,0.0
213.0,3.0,0.0,1.0,0.0,0.0
214.0,0.0,1.0,0.0,0.0,0.0
215.0,8.0,0.0,0.0,0.0,0.0
216.0,7.0,1.0,4.0,1.0,0.0
217.0,8.0,9.0,19.0,5.0,0.0
218.0,8.0,5.0,7.0,5.0,0.0
219.0,2.0,5.0,17.0,5.0,0.0
220.0,3.0,3.0,2.0,5.0,0.0
221.0,7.0,6.0,13.0,4.0,1.0
222.0,8.0,7.0,12.0,0.0,1.0
223.0,1.0,0.0,3.0,0.0,0.0
225.0,1.0,1.0,1.0,0.0,0.0
226.0,0.0,2.0,3.0,3.0,0.0
227.0,1.0,1.0,0.0,1.0,0.0
228.0,15.0,13.0,15.0,4.0,1.0
229.0,2.0,8.0,13.0,2.0,1.0
230.0,19.0,10.0,3.0,0.0,0.0
231.0,4.0,0.0,0.0,0.0,0.0
232.0,0.0,2.0,6.0,1.0,0.0
233.0,1.0,1.0,0.0,0.0,0.0
234.0,1.0,1.0,8.0,1.0,0.0
235.0,2.0,1.0,3.0,1.0,0.0
238.0,0.0,1.0,0.0,0.0,0.0
240.0,0.0,0.0,1.0,2.0,0.0
241.0,2.0,2.0,1.0,0.0,0.0
242.0,5.0,6.0,2.0,2.0,0.0
243.0,0.0,1.0,0.0,0.0,0.0
244.0,2.0,1.0,1.0,0.0,0.0
245.0,3.0,0.0,1.0,0.0,0.0
246.0,0.0,1.0,0.0,0.0,0.0
247.0,17.0,11.0,12.0,4.0,1.0
248.0,2.0,0.0,0.0,0.0,0.0
249.0,1.0,0.0,1.0,0.0,0.0
250.0,1.0,0.0,1.0,3.0,0.0
251.0,1.0,0.0,0.0,0.0,0.0
252.0,24.0,2.0,1.0,0.0,0.0
255.0,2.0,6.0,7.0,0.0,0.0
256.0,5.0,2.0,12.0,10.0,6.0
257.0,9.0,5.0,2.0,0.0,0.0
258.0,3.0,3.0,7.0,2.0,2.0
259.0,8.0,6.0,10.0,4.0,1.0
260.0,13.0,5.0,3.0,0.0,0.0
261.0,24.0,9.0,10.0,8.0,3.0
262.0,6.0,4.0,16.0,4.0,1.0
263.0,1.0,2.0,1.0,0.0,0.0
264.0,0.0,3.0,1.0,0.0,0.0
265.0,1.0,0.0,2.0,0.0,0.0
266.0,3.0,2.0,0.0,0.0,0.0
267.0,2.0,3.0,2.0,5.0,0.0
268.0,3.0,1.0,0.0,0.0,0.0
269.0,1.0,0.0,0.0,0.0,0.0
270.0,3.0,2.0,0.0,0.0,0.0
271.0,0.0,1.0,1.0,0.0,0.0
272.0,0.0,0.0,1.0,1.0,1.0
273.0,1.0,1.0,3.0,0.0,0.0
274.0,4.0,2.0,1.0,0.0,0.0
275.0,4.0,10.0,9.0,2.0,0.0
276.0,1.0,7.0,2.0,2.0,1.0
277.0,7.0,7.0,5.0,3.0,1.0
278.0,3.0,0.0,0.0,0.0,0.0
279.0,3.0,1.0,0.0,0.0,0.0
282.0,58.0,3.0,0.0,1.0,0.0
283.0,4.0,3.0,5.0,4.0,0.0
284.0,1.0,0.0,0.0,0.0,0.0
285.0,0.0,0.0,1.0,0.0,0.0
286.0,3.0,1.0,5.0,3.0,0.0
287.0,4.0,1.0,0.0,0.0,0.0
288.0,13.0,3.0,1.0,0.0,0.0
289.0,2.0,0.0,0.0,0.0,0.0
290.0,3.0,0.0,1.0,0.0,0.0
291.0,0.0,1.0,2.0,0.0,0.0
292.0,5.0,16.0,6.0,2.0,0.0
293.0,8.0,0.0,7.0,2.0,0.0
294.0,2.0,1.0,5.0,2.0,0.0
295.0,5.0,1.0,0.0,0.0,0.0
296.0,0.0,1.0,1.0,0.0,0.0
297.0,4.0,4.0,3.0,0.0,0.0
298.0,0.0,0.0,1.0,0.0,0.0
299.0,19.0,25.0,26.0,17.0,5.0
300.0,21.0,21.0,8.0,3.0,4.0
301.0,4.0,0.0,0.0,1.0,0.0
302.0,4.0,0.0,0.0,0.0,0.0
303.0,1.0,2.0,1.0,0.0,2.0
304.0,8.0,13.0,11.0,4.0,1.0
305.0,11.0,8.0,11.0,0.0,0.0
306.0,16.0,3.0,1.0,0.0,0.0
307.0,2.0,1.0,0.0,0.0,0.0
308.0,1.0,1.0,4.0,3.0,0.0
312.0,4.0,0.0,1.0,0.0,0.0
313.0,2.0,4.0,4.0,5.0,0.0
314.0,1.0,0.0,0.0,0.0,0.0
315.0,3.0,1.0,0.0,0.0,0.0
316.0,2.0,0.0,2.0,0.0,0.0
317.0,2.0,0.0,2.0,0.0,0.0
318.0,2.0,3.0,1.0,0.0,1.0
319.0,0.0,1.0,1.0,0.0,0.0
320.0,1.0,2.0,0.0,0.0,0.0
321.0,1.0,1.0,2.0,0.0,0.0
323.0,2.0,2.0,4.0,0.0,0.0
326.0,0.0,1.0,3.0,0.0,0.0
327.0,0.0,1.0,0.0,0.0,0.0
331.0,20.0,15.0,6.0,1.0,0.0
332.0,9.0,1.0,2.0,1.0,0.0
333.0,11.0,21.0,7.0,1.0,4.0
334.0,3.0,6.0,1.0,0.0,8.0
335.0,29.0,12.0,6.0,1.0,1.0
336.0,8.0,14.0,6.0,1.0,4.0
337.0,13.0,5.0,5.0,4.0,0.0
338.0,11.0,31.0,24.0,7.0,7.0
339.0,40.0,6.0,3.0,2.0,0.0
340.0,38.0,5.0,8.0,0.0,0.0
341.0,8.0,15.0,7.0,0.0,0.0
342.0,29.0,12.0,13.0,5.0,0.0
343.0,14.0,15.0,19.0,1.0,1.0
344.0,18.0,17.0,10.0,3.0,0.0
345.0,3.0,7.0,7.0,0.0,1.0
346.0,4.0,17.0,8.0,1.0,0.0
347.0,1.0,8.0,9.0,4.0,1.0
348.0,5.0,2.0,3.0,0.0,0.0
349.0,12.0,5.0,7.0,3.0,3.0
350.0,33.0,5.0,3.0,0.0,0.0
351.0,62.0,34.0,24.0,11.0,7.0
352.0,14.0,5.0,6.0,7.0,0.0
353.0,12.0,7.0,12.0,3.0,2.0
354.0,11.0,0.0,1.0,0.0,0.0
355.0,17.0,16.0,14.0,3.0,1.0
356.0,2.0,1.0,1.0,0.0,0.0
357.0,3.0,6.0,4.0,0.0,0.0
358.0,2.0,1.0,4.0,2.0,0.0
359.0,10.0,5.0,6.0,0.0,2.0
360.0,14.0,2.0,3.0,1.0,2.0
361.0,0.0,0.0,3.0,0.0,0.0
362.0,4.0,4.0,4.0,3.0,0.0
363.0,16.0,14.0,15.0,0.0,2.0
364.0,32.0,6.0,9.0,14.0,1.0
365.0,7.0,10.0,9.0,5.0,1.0
366.0,12.0,19.0,21.0,4.0,2.0
367.0,9.0,21.0,17.0,4.0,4.0
368.0,4.0,30.0,10.0,3.0,2.0
401.0,8.0,0.0,0.0,0.0,0.0
451.0,2.0,1.0,0.0,0.0,2.0
452.0,0.0,1.0,0.0,0.0,1.0
453.0,40.0,26.0,1.0,0.0,1.0
454.0,0.0,3.0,1.0,0.0,3.0
1001.0,11.0,0.0,0.0,0.0,0.0
1003.0,1.0,1.0,0.0,0.0,0.0
1004.0,3.0,0.0,0.0,0.0,0.0
2001.0,11.0,0.0,0.0,0.0,0.0
3001.0,8.0,0.0,0.0,0.0,0.0
3002.0,2.0,0.0,0.0,0.0,0.0
4001.0,7.0,1.0,0.0,0.0,0.0
5001.0,1.0,0.0,0.0,0.0,0.0
5003.0,23.0,1.0,0.0,0.0,0.0
5004.0,3.0,0.0,0.0,0.0,0.0
6001.0,7.0,2.0,0.0,0.0,0.0
7001.0,1.0,0.0,0.0,0.0,0.0
7002.0,1.0,0.0,0.0,0.0,0.0
8001.0,3.0,0.0,0.0,0.0,0.0
9001.0,4.0,0.0,0.0,0.0,0.0
10001.0,2.0,0.0,0.0,0.0,0.0
10002.0,4.0,0.0,0.0,0.0,0.0
11001.0,5.0,0.0,0.0,0.0,0.0
12001.0,6.0,0.0,0.0,0.0,0.0
12004.0,1.0,0.0,0.0,0.0,0.0
14001.0,2.0,2.0,0.0,0.0,0.0
14002.0,10.0,0.0,0.0,0.0,0.0
14003.0,1.0,0.0,0.0,0.0,0.0
15001.0,33.0,3.0,2.0,2.0,0.0
15002.0,3.0,0.0,0.0,0.0,0.0
15003.0,0.0,1.0,0.0,0.0,0.0
15004.0,5.0,0.0,0.0,0.0,0.0
15005.0,57.0,7.0,0.0,0.0,0.0
16001.0,7.0,1.0,0.0,0.0,0.0
16002.0,0.0,1.0,0.0,0.0,0.0
19001.0,3.0,0.0,0.0,0.0,0.0
