age_sex_comb,source-destination,count
16-19_K,"dom-szkoła, szkoła-dom",50
16-19_K,"dom-inne, inne-dom",8
16-19_K,"dom-uczelnia, uczelnia-dom",8
16-19_K,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",4
16-19_K,"dom-praca, praca-dom",3
16-19_K,"dom-inne, inne-dom",1
16-19_K,"dom-inne, inne-inne, inne-szkoła, szkoła-inne, inne-inne, inne-dom",1
16-19_K,"dom-inne, inne-szkoła, szkoła-dom, dom-inne, inne-dom",1
16-19_K,"dom-praca, praca-dom",1
16-19_K,"dom-praca, praca-dom, dom-inne, inne-dom",1
16-19_K,"dom-praca, praca-inne, inne-dom",1
16-19_K,"dom-szkoła, szkoła-inne, inne-dom",1
16-19_K,"dom-szkoła, szkoła-szkoła, szkoła-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
16-19_K,"dom-uczelnia, uczelnia-dom, dom-uczelnia, uczelnia-dom",1
16-19_K,"dom-uczelnia, uczelnia-dom, dom-inne, inne-dom",1
16-19_K,"dom-uczelnia, uczelnia-praca, praca-dom",1
16-19_M,"dom-szkoła, szkoła-dom",77
16-19_M,"dom-inne, inne-dom",13
16-19_M,"dom-uczelnia, uczelnia-dom",10
16-19_M,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",5
16-19_M,"dom-szkoła, szkoła-inne, inne-dom",5
16-19_M,"dom-praca, praca-dom",3
16-19_M,"dom-szkoła, szkoła-dom",3
16-19_M,"dom-inne, inne-dom, dom-inne, inne-dom, dom-inne, inne-dom",1
16-19_M,"dom-inne, inne-szkoła, szkoła-dom",1
16-19_M,"dom-praca, praca-inne, inne-dom",1
16-19_M,"dom-szkoła, szkoła-inne, inne-inne, inne-inne, inne-dom",1
16-19_M,"dom-szkoła, szkoła-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
16-19_M,"dom-uczelnia, uczelnia-dom, dom-praca, praca-dom",1
16-19_M,"dom-uczelnia, uczelnia-inne, inne-dom",1
16-19_M,"dom-inne, inne-dom",1
20-24_K,"dom-uczelnia, uczelnia-dom",82
20-24_K,"dom-inne, inne-dom",46
20-24_K,"dom-praca, praca-dom",40
20-24_K,"dom-uczelnia, uczelnia-inne, inne-dom",19
20-24_K,"dom-szkoła, szkoła-dom",10
20-24_K,"dom-uczelnia, uczelnia-dom, dom-inne, inne-dom",9
20-24_K,"dom-uczelnia, uczelnia-dom, dom-uczelnia, uczelnia-dom",4
20-24_K,"dom-inne, inne-dom",3
20-24_K,"dom-inne, inne-dom, dom-inne, inne-dom",3
20-24_K,"dom-praca, praca-inne, inne-dom",3
20-24_K,"dom-uczelnia, uczelnia-inne, inne-dom",3
20-24_K,"dom-uczelnia, uczelnia-praca, praca-dom",3
20-24_K,"dom-praca, praca-dom",2
20-24_K,"dom-praca, praca-dom, dom-inne, inne-dom",2
20-24_K,"dom-uczelnia, uczelnia-inne, inne-uczelnia, uczelnia-dom",2
20-24_K,"dom-inne, inne-dom, dom-inne, inne-dom",1
20-24_K,"dom-inne, inne-dom, dom-uczelnia, uczelnia-dom, dom-szkoła, szkoła-dom",1
20-24_K,"dom-inne, inne-inne, inne-dom",1
20-24_K,"dom-inne, inne-inne, inne-dom",1
20-24_K,"dom-inne, inne-inne, inne-uczelnia, uczelnia-dom",1
20-24_K,"dom-praca, praca-inne, inne-dom",1
20-24_K,"dom-szkoła, szkoła-inne, inne-dom",1
20-24_K,"dom-uczelnia, uczelnia-dom",1
20-24_K,"dom-uczelnia, uczelnia-dom, dom-uczelnia, uczelnia-dom",1
20-24_K,"dom-uczelnia, uczelnia-inne, inne-inne, inne-inne, inne-dom",1
20-24_K,"dom-uczelnia, uczelnia-inne, inne-uczelnia, uczelnia-inne, inne-inne, inne-dom",1
20-24_K,"dom-inne, inne-dom",1
20-24_K,"dom-uczelnia, uczelnia-uczelnia, uczelnia-inne, inne-dom",1
20-24_M,"dom-uczelnia, uczelnia-dom",83
20-24_M,"dom-inne, inne-dom",47
20-24_M,"dom-praca, praca-dom",38
20-24_M,"dom-uczelnia, uczelnia-inne, inne-dom",13
20-24_M,"dom-uczelnia, uczelnia-dom, dom-inne, inne-dom",8
20-24_M,"dom-szkoła, szkoła-dom",4
20-24_M,"dom-uczelnia, uczelnia-dom, dom-uczelnia, uczelnia-dom",4
20-24_M,"dom-uczelnia, uczelnia-dom",3
20-24_M,"dom-inne, inne-dom",2
20-24_M,"dom-inne, inne-inne, inne-dom",2
20-24_M,"dom-praca, praca-dom",2
20-24_M,"dom-uczelnia, uczelnia-dom, dom-inne, inne-dom",2
20-24_M,"dom-uczelnia, uczelnia-dom, dom-praca, praca-dom",2
20-24_M,"dom-praca, praca-dom",2
20-24_M,"dom-inne, inne-inne, inne-inne, inne-dom",1
20-24_M,"dom-inne, inne-inne, inne-uczelnia, uczelnia-inne, inne-inne, inne-dom",1
20-24_M,"dom-inne, inne-praca, praca-dom",1
20-24_M,"dom-inne, inne-praca, praca-inne, inne-dom",1
20-24_M,"dom-praca, praca-dom, dom-praca, praca-dom",1
20-24_M,"dom-praca, praca-dom, dom-uczelnia, uczelnia-dom",1
20-24_M,"dom-praca, praca-dom, dom-inne, inne-dom",1
20-24_M,"dom-praca, praca-inne, inne-dom",1
20-24_M,"dom-szkoła, szkoła-dom",1
20-24_M,"dom-szkoła, szkoła-dom, dom-szkoła, szkoła-dom",1
20-24_M,"dom-uczelnia, uczelnia-dom, dom-praca, praca-dom",1
20-24_M,"dom-uczelnia, uczelnia-dom, dom-uczelnia, uczelnia-dom, dom-uczelnia, uczelnia-dom",1
20-24_M,"dom-uczelnia, uczelnia-dom, dom-inne, inne-inne, inne-dom",1
20-24_M,"dom-uczelnia, uczelnia-inne, inne-inne, inne-dom, dom-inne, inne-dom",1
20-24_M,"dom-uczelnia, uczelnia-praca, praca-dom",1
20-24_M,"dom-uczelnia, uczelnia-uczelnia, uczelnia-dom",1
20-24_M,"dom-inne, inne-inne, inne-praca, praca-dom",1
20-24_M,"dom-praca, praca-inne, inne-dom",1
25-44_K,"dom-praca, praca-dom",488
25-44_K,"dom-inne, inne-dom",228
25-44_K,"dom-praca, praca-inne, inne-dom",44
25-44_K,"dom-praca, praca-dom, dom-inne, inne-dom",26
25-44_K,"dom-uczelnia, uczelnia-dom",19
25-44_K,"dom-szkoła, szkoła-dom",15
25-44_K,"dom-inne, inne-dom, dom-inne, inne-dom",13
25-44_K,"dom-praca, praca-dom",9
25-44_K,"dom-inne, inne-dom",9
25-44_K,"dom-inne, inne-inne, inne-dom",7
25-44_K,"dom-inne, inne-praca, praca-dom",7
25-44_K,"dom-szkoła, szkoła-dom, dom-szkoła, szkoła-dom",7
25-44_K,"dom-szkoła, szkoła-praca, praca-dom",7
25-44_K,"dom-inne, inne-dom",5
25-44_K,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom",5
25-44_K,"dom-praca, praca-inne, inne-inne, inne-dom",4
25-44_K,"dom-szkoła, szkoła-inne, inne-dom, dom-szkoła, szkoła-dom",4
25-44_K,"dom-uczelnia, uczelnia-inne, inne-dom",4
25-44_K,"dom-inne, inne-dom, dom-praca, praca-dom",3
25-44_K,"dom-inne, inne-praca, praca-inne, inne-dom",3
25-44_K,"dom-praca, praca-praca, praca-dom",3
25-44_K,"dom-praca, praca-szkoła, szkoła-dom",3
25-44_K,"dom-praca, praca-praca, praca-dom",3
25-44_K,"dom-inne, inne-dom, dom-inne, inne-dom, dom-inne, inne-dom",2
25-44_K,"dom-inne, inne-inne, inne-praca, praca-inne, inne-inne, inne-dom",2
25-44_K,"dom-praca, praca-dom, dom-praca, praca-dom",2
25-44_K,"dom-praca, praca-dom, dom-szkoła, szkoła-dom",2
25-44_K,"dom-praca, praca-inne, inne-dom",2
25-44_K,"dom-praca, praca-praca, praca-dom",2
25-44_K,"dom-szkoła, szkoła-inne, inne-dom",2
25-44_K,"dom-szkoła, szkoła-praca, praca-inne, inne-dom",2
25-44_K,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom, dom-inne, inne-dom",2
25-44_K,"dom-inne, inne-inne, inne-dom",2
25-44_K,"dom-inne, inne-dom",1
25-44_K,"dom-inne, inne-dom, dom-inne, inne-dom",1
25-44_K,"dom-inne, inne-dom, dom-inne, inne-dom",1
25-44_K,"dom-inne, inne-dom, dom-inne, inne-praca, praca-inne, inne-dom",1
25-44_K,"dom-inne, inne-dom, dom-praca, praca-dom",1
25-44_K,"dom-inne, inne-dom, dom-szkoła, szkoła-dom",1
25-44_K,"dom-inne, inne-inne, inne-dom",1
25-44_K,"dom-inne, inne-inne, inne-dom, dom-inne, inne-dom",1
25-44_K,"dom-inne, inne-inne, inne-inne, inne-dom",1
25-44_K,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
25-44_K,"dom-inne, inne-inne, inne-praca, praca-dom",1
25-44_K,"dom-inne, inne-praca, praca-inne, inne-dom",1
25-44_K,"dom-inne, inne-szkoła, szkoła-inne, inne-dom",1
25-44_K,"dom-praca, praca-dom, dom-inne, inne-dom",1
25-44_K,"dom-praca, praca-dom, dom-inne, inne-dom",1
25-44_K,"dom-praca, praca-dom, dom-inne, inne-inne, inne-dom",1
25-44_K,"dom-praca, praca-dom, dom-praca, praca-dom",1
25-44_K,"dom-szkoła, szkoła-dom, dom-inne, inne-dom, dom-praca, praca-szkoła, szkoła-dom",1
25-44_K,"dom-szkoła, szkoła-dom, dom-inne, inne-dom, dom-szkoła, szkoła-dom",1
25-44_K,"dom-szkoła, szkoła-dom, dom-inne, inne-szkoła, szkoła-dom",1
25-44_K,"dom-szkoła, szkoła-dom, dom-praca, praca-dom",1
25-44_K,"dom-szkoła, szkoła-praca, praca-dom",1
25-44_K,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom, dom-praca, praca-dom",1
25-44_K,"dom-uczelnia, uczelnia-inne, inne-inne, inne-inne, inne-dom",1
25-44_K,"dom-inne, inne-dom",1
25-44_K,"dom-praca, praca-dom",1
25-44_K,"dom-praca, praca-dom, dom-praca, praca-dom",1
25-44_K,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom",1
25-44_K,"dom-uczelnia, uczelnia-praca, praca-dom",1
25-44_M,"dom-praca, praca-dom",576
25-44_M,"dom-inne, inne-dom",145
25-44_M,"dom-praca, praca-inne, inne-dom",44
25-44_M,"dom-uczelnia, uczelnia-dom",25
25-44_M,"dom-praca, praca-dom, dom-inne, inne-dom",23
25-44_M,"dom-praca, praca-dom",14
25-44_M,"dom-inne, inne-inne, inne-dom",6
25-44_M,"dom-praca, praca-praca, praca-dom",6
25-44_M,"dom-praca, praca-praca, praca-dom",5
25-44_M,"dom-szkoła, szkoła-praca, praca-dom",5
25-44_M,"dom-praca, praca-dom",5
25-44_M,"dom-inne, inne-dom",3
25-44_M,"dom-inne, inne-inne, inne-inne, inne-dom",3
25-44_M,"dom-inne, inne-praca, praca-dom",3
25-44_M,"dom-praca, praca-inne, inne-inne, inne-dom",3
25-44_M,"dom-szkoła, szkoła-dom",3
25-44_M,"dom-szkoła, szkoła-praca, praca-inne, inne-dom",3
25-44_M,"dom-inne, inne-dom",3
25-44_M,"dom-inne, inne-dom, dom-inne, inne-dom",2
25-44_M,"dom-inne, inne-dom, dom-praca, praca-dom",2
25-44_M,"dom-praca, praca-dom, dom-inne, inne-dom",2
25-44_M,"dom-praca, praca-dom, dom-praca, praca-dom",2
25-44_M,"dom-praca, praca-dom, dom-inne, inne-dom",2
25-44_M,"dom-praca, praca-dom, dom-praca, praca-dom",2
25-44_M,"dom-praca, praca-inne, inne-dom",2
25-44_M,"dom-inne, inne-dom, dom-inne, inne-dom",1
25-44_M,"dom-inne, inne-dom, dom-inne, inne-praca, praca-dom",1
25-44_M,"dom-inne, inne-inne, inne-dom, dom-inne, inne-dom",1
25-44_M,"dom-inne, inne-inne, inne-praca, praca-inne, inne-inne, inne-dom",1
25-44_M,"dom-inne, inne-praca, praca-inne, inne-dom",1
25-44_M,"dom-praca, praca-dom, dom-praca, praca-dom",1
25-44_M,"dom-praca, praca-dom, dom-praca, praca-dom",1
25-44_M,"dom-praca, praca-dom, dom-praca, praca-inne, inne-dom",1
25-44_M,"dom-praca, praca-inne, inne-inne, inne-dom",1
25-44_M,"dom-praca, praca-dom",1
25-44_M,"dom-praca, praca-inne, inne-dom, dom-inne, inne-dom",1
25-44_M,"dom-praca, praca-inne, inne-dom, dom-praca, praca-dom",1
25-44_M,"dom-praca, praca-inne, inne-praca, praca-dom, dom-inne, inne-dom",1
25-44_M,"dom-praca, praca-praca, praca-dom",1
25-44_M,"dom-praca, praca-praca, praca-praca, praca-dom",1
25-44_M,"dom-praca, praca-szkoła, szkoła-dom, dom-inne, inne-dom",1
25-44_M,"dom-szkoła, szkoła-dom, dom-szkoła, szkoła-dom, dom-praca, praca-dom",1
25-44_M,"dom-szkoła, szkoła-inne, inne-inne, inne-dom, dom-szkoła, szkoła-dom",1
25-44_M,"dom-szkoła, szkoła-inne, inne-inne, inne-inne, inne-dom",1
25-44_M,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom",1
25-44_M,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom, dom-inne, inne-dom",1
25-44_M,"dom-uczelnia, uczelnia-praca, praca-dom",1
25-44_M,"dom-inne, inne-dom",1
25-44_M,"dom-praca, praca-inne, inne-dom",1
45-60_K,"dom-praca, praca-dom",310
45-60_K,"dom-inne, inne-dom",217
45-60_K,"dom-praca, praca-inne, inne-dom",26
45-60_K,"dom-inne, inne-inne, inne-dom",13
45-60_K,"dom-praca, praca-dom, dom-inne, inne-dom",13
45-60_K,"dom-praca, praca-dom",8
45-60_K,"dom-inne, inne-dom, dom-inne, inne-dom",7
45-60_K,"dom-inne, inne-dom",5
45-60_K,"dom-inne, inne-inne, inne-inne, inne-dom",3
45-60_K,"dom-praca, praca-inne, inne-inne, inne-inne, inne-dom",3
45-60_K,"dom-praca, praca-praca, praca-dom",3
45-60_K,"dom-inne, inne-dom",3
45-60_K,"dom-inne, inne-dom, dom-praca, praca-dom",2
45-60_K,"dom-inne, inne-praca, praca-dom",2
45-60_K,"dom-praca, praca-inne, inne-inne, inne-dom",2
45-60_K,"dom-szkoła, szkoła-dom, dom-szkoła, szkoła-dom",2
45-60_K,"dom-szkoła, szkoła-praca, praca-dom",2
45-60_K,"dom-inne, inne-dom",1
45-60_K,"dom-inne, inne-dom, dom-inne, inne-inne, inne-dom",1
45-60_K,"dom-inne, inne-inne, inne-dom",1
45-60_K,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
45-60_K,"dom-inne, inne-inne, inne-praca, praca-dom",1
45-60_K,"dom-inne, inne-inne, inne-praca, praca-dom",1
45-60_K,"dom-inne, inne-praca, praca-inne, inne-dom",1
45-60_K,"dom-praca, praca-inne, inne-inne, inne-inne, inne-dom",1
45-60_K,"dom-praca, praca-inne, inne-dom",1
45-60_K,"dom-praca, praca-inne, inne-dom, dom-inne, inne-dom",1
45-60_K,"dom-praca, praca-praca, praca-praca, praca-dom",1
45-60_K,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",1
45-60_K,"dom-szkoła, szkoła-dom, dom-inne, inne-szkoła, szkoła-dom",1
45-60_K,"dom-szkoła, szkoła-inne, inne-dom",1
45-60_K,"dom-szkoła, szkoła-inne, inne-dom, dom-szkoła, szkoła-dom",1
45-60_K,"dom-szkoła, szkoła-praca, praca-inne, inne-dom",1
45-60_K,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom",1
45-60_K,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-praca, praca-dom",425
45-65_M,"dom-inne, inne-dom",197
45-65_M,"dom-praca, praca-inne, inne-dom",21
45-65_M,"dom-praca, praca-dom, dom-inne, inne-dom",17
45-65_M,"dom-praca, praca-dom",9
45-65_M,"dom-inne, inne-dom",7
45-65_M,"dom-inne, inne-inne, inne-dom",7
45-65_M,"dom-praca, praca-inne, inne-inne, inne-dom",7
45-65_M,"dom-inne, inne-dom, dom-inne, inne-dom",6
45-65_M,"dom-szkoła, szkoła-praca, praca-dom",4
45-65_M,"dom-praca, praca-dom",4
45-65_M,"dom-inne, inne-praca, praca-dom",3
45-65_M,"dom-szkoła, szkoła-dom",3
45-65_M,"dom-inne, inne-dom",3
45-65_M,"dom-inne, inne-praca, praca-dom",2
45-65_M,"dom-inne, inne-praca, praca-inne, inne-dom",2
45-65_M,"dom-praca, praca-inne, inne-inne, inne-inne, inne-dom",2
45-65_M,"dom-praca, praca-praca, praca-praca, praca-dom",2
45-65_M,"dom-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-dom, dom-inne, inne-dom",1
45-65_M,"dom-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-praca, praca-dom, dom-inne, inne-dom",1
45-65_M,"dom-praca, praca-inne, inne-dom",1
45-65_M,"dom-praca, praca-inne, inne-inne, inne-dom",1
45-65_M,"dom-praca, praca-inne, inne-inne, inne-inne, inne-dom",1
45-65_M,"dom-praca, praca-dom, dom-inne, inne-praca, praca-inne, inne-dom, dom-praca, praca-dom",1
45-65_M,"dom-praca, praca-inne, inne-dom",1
45-65_M,"dom-praca, praca-inne, inne-inne, inne-dom",1
45-65_M,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-praca, praca-uczelnia, uczelnia-dom",1
45-65_M,"dom-szkoła, szkoła-inne, inne-inne, inne-dom",1
45-65_M,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom",1
45-65_M,"dom-uczelnia, uczelnia-dom",1
45-65_M,"dom-inne, inne-dom",1
45-65_M,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-uczelnia, uczelnia-praca, praca-dom",1
6-15_K,"dom-szkoła, szkoła-dom",240
6-15_K,"dom-inne, inne-dom",24
6-15_K,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",19
6-15_K,"dom-szkoła, szkoła-inne, inne-dom",7
6-15_K,"dom-inne, inne-dom",2
6-15_K,"dom-inne, inne-inne, inne-dom",2
6-15_K,"dom-inne, inne-szkoła, szkoła-dom",2
6-15_K,"dom-szkoła, szkoła-dom",1
6-15_K,"dom-szkoła, szkoła-dom, dom-inne, inne-inne, inne-dom",1
6-15_K,"dom-szkoła, szkoła-dom, dom-praca, praca-dom",1
6-15_K,"dom-szkoła, szkoła-inne, inne-inne, inne-dom",1
6-15_K,"dom-szkoła, szkoła-inne, inne-szkoła, szkoła-dom",1
6-15_K,"dom-szkoła, szkoła-szkoła, szkoła-dom",1
6-15_K,"dom-szkoła, szkoła-szkoła, szkoła-dom",1
6-15_K,"dom-inne, inne-dom",1
6-15_K,"dom-szkoła, szkoła-szkoła, szkoła-dom",1
6-15_M,"dom-szkoła, szkoła-dom",190
6-15_M,"dom-inne, inne-dom",29
6-15_M,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",9
6-15_M,"dom-szkoła, szkoła-inne, inne-dom",9
6-15_M,"dom-szkoła, szkoła-dom",3
6-15_M,"dom-praca, praca-dom",2
6-15_M,"dom-szkoła, szkoła-inne, inne-inne, inne-dom",2
6-15_M,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",1
6-15_M,"dom-szkoła, szkoła-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
6-15_M,"dom-szkoła, szkoła-praca, praca-dom",1
6-15_M,"dom-inne, inne-dom",1
6-15_M,"dom-inne, inne-szkoła, szkoła-dom",1
6-15_M,"dom-szkoła, szkoła-dom",1
61-x_K,"dom-inne, inne-dom",620
61-x_K,"dom-praca, praca-dom",62
61-x_K,"dom-inne, inne-dom, dom-inne, inne-dom",22
61-x_K,"dom-inne, inne-inne, inne-dom",18
61-x_K,"dom-inne, inne-dom",10
61-x_K,"dom-inne, inne-inne, inne-inne, inne-dom",10
61-x_K,"dom-inne, inne-dom",10
61-x_K,"dom-inne, inne-inne, inne-dom, dom-inne, inne-dom",3
61-x_K,"dom-praca, praca-dom, dom-inne, inne-dom",3
61-x_K,"dom-praca, praca-inne, inne-dom",3
61-x_K,"dom-praca, praca-dom",2
61-x_K,"dom-inne, inne-dom, dom-inne, inne-inne, inne-dom",1
61-x_K,"dom-inne, inne-inne, inne-dom",1
61-x_K,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
61-x_K,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
61-x_K,"dom-szkoła, szkoła-dom",1
61-x_K,"dom-uczelnia, uczelnia-dom",1
61-x_K,"dom-inne, inne-dom",1
61-x_K,"dom-praca, praca-dom",1
61-x_K,"dom-praca, praca-praca, praca-dom",1
61-x_K,"dom-praca, praca-praca, praca-inne, inne-dom",1
66-x_M,"dom-inne, inne-dom",331
66-x_M,"dom-praca, praca-dom",20
66-x_M,"dom-inne, inne-inne, inne-dom",15
66-x_M,"dom-inne, inne-dom, dom-inne, inne-dom",9
66-x_M,"dom-inne, inne-inne, inne-inne, inne-dom",8
66-x_M,"dom-inne, inne-dom",5
66-x_M,"dom-inne, inne-inne, inne-dom",3
66-x_M,"dom-uczelnia, uczelnia-dom",3
66-x_M,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",2
66-x_M,"dom-praca, praca-dom",1
66-x_M,"dom-praca, praca-dom, dom-inne, inne-dom",1
66-x_M,"dom-praca, praca-inne, inne-dom",1
66-x_M,"dom-inne, inne-dom",1
66-x_M,"dom-inne, inne-inne, inne-dom",1
66-x_M,"dom-praca, praca-inne, inne-dom",1