,Unnamed: 0,travel_id,lat,long,time,mean_of_transport,geometry,building_id
0,0,798a9138-afb4-4599-a4a4-b953673a6586,16.9638253,51.1264047,2019-10-27 07:40:00,Pieszo,POINT (16.9638253 51.1264047),414
1,1,798a9138-afb4-4599-a4a4-b953673a6586,16.9607009,51.1276341,2019-10-27 07:48:00,Pieszo,POINT (16.9607009 51.1276341),445
2,2,5e3a9ce9-2285-41d5-a395-a483adbc45f6,16.9577253,51.1265541,2019-10-08 05:00:00,Samochód osobowy jako kierowca,POINT (16.9577253 51.1265541),210
4,4,9cd2247e-4c96-4d73-b81c-7ee752b099ae,16.9697476,51.126557700000006,2019-10-27 18:30:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
8,8,bf7ad7dd-c470-41da-88d4-fc6d9543d592,16.9603031,51.1237427,2019-11-05 07:30:59,Komunikacja autobusowa,POINT (16.9603031 51.1237427),670
14,14,3e99ebc8-2518-4a0e-8af8-585f8a3425bc,16.9608293,51.123380700000006,2019-11-13 06:32:14,Komunikacja autobusowa,POINT (16.9608293 51.12338070000001),670
18,18,2c89f875-a36e-4466-81c6-ea5d10c1605b,16.9650717,51.1280167,2019-10-25 06:03:00,Komunikacja autobusowa,POINT (16.9650717 51.1280167),333
20,20,551ed845-e2ec-4c4c-92a0-87f5560df5dd,16.9591797,51.1268743,2019-10-25 04:50:00,Samochód osobowy jako kierowca,POINT (16.9591797 51.1268743),38
30,30,ace63a6f-6650-4e5f-98e5-987bf9882629,16.9630277,51.122910499999996,2019-10-24 07:00:00,Pieszo,POINT (16.9630277 51.1229105),132
34,34,e3831417-75c2-44fc-84a6-d2ed59017ea2,16.9697476,51.126557700000006,2019-10-27 15:00:03,Tramwaj,POINT (16.9697476 51.12655770000001),521
42,42,2f35890b-970a-40a1-98db-7d4f09be383c,16.961908899999997,51.12943129999999,2019-10-25 05:45:00,Pieszo,POINT (16.9619089 51.12943129999999),586
52,52,3862fd33-fe73-4b89-9ab8-97ac5ed62c05,16.9606268,51.1289528,2019-10-21 05:30:00,Tramwaj,POINT (16.9606268 51.1289528),749
60,60,54f3e1aa-5179-4254-a4a0-d1fa19fee989,16.964517100000002,51.1275413,2019-10-24 04:25:00,Pociąg,POINT (16.9645171 51.1275413),736
72,72,425c0fa6-7568-4ff2-a7ec-6ce4e956f941,16.9612924,51.1245834,2019-10-24 04:30:00,Samochód osobowy jako kierowca,POINT (16.9612924 51.1245834),306
86,86,d96ed1db-0b21-4e74-9eb6-232fde240d90,16.9614087,51.1308749,2019-10-26 09:35:00,Hulajnoga elektryczna,POINT (16.9614087 51.1308749),697
89,89,64f75827-afce-4702-94c1-29926adb50f9,16.9660793,51.123142200000004,2019-10-25 06:05:00,Samochód osobowy jako kierowca,POINT (16.9660793 51.1231422),803
90,90,127db4ca-d580-452f-a677-744b7f4da570,16.9652056,51.127138,2019-10-26 16:34:00,Pieszo,POINT (16.9652056 51.127138),737
94,94,28a375b7-76e7-456b-8edb-7be93e5b3449,16.9697476,51.126557700000006,2019-10-25 06:30:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
96,96,ff50ac3e-952e-4aad-be80-7de4227935f8,16.9697476,51.126557700000006,2019-10-21 04:20:00,Hulajnoga elektryczna,POINT (16.9697476 51.12655770000001),521
100,100,a7c60b70-d6f4-4667-bf93-de6f943e2703,16.9697476,51.126557700000006,2019-10-24 06:40:00,Tramwaj,POINT (16.9697476 51.12655770000001),521
104,104,f21d2720-e517-45e5-b25a-4191cb08e61c,16.9677959,51.1258725,2019-10-25 05:25:00,Tramwaj,POINT (16.9677959 51.1258725),45
106,106,2f861bea-3c46-47a9-9476-b684cd87d0b9,16.9696122,51.1219101,2019-10-24 06:20:00,Hulajnoga elektryczna,POINT (16.9696122 51.1219101),474
113,113,20c9b9c7-5970-4e3a-829a-96b3b9c61a53,16.9697476,51.126557700000006,2019-10-28 14:30:17,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
126,126,87e9b45c-0adb-4fea-a80d-4d206819b7bc,16.9687768,51.127427399999995,2019-10-24 06:00:00,Samochód osobowy jako kierowca,POINT (16.9687768 51.12742739999999),329
138,138,acb841d0-fbde-4419-b585-ef05e8a3df31,16.9697476,51.126557700000006,2019-10-24 05:30:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
148,148,4fbe177f-c4dd-41fe-93c4-30e99e766564,16.960624499999998,51.1243316,2019-10-28 07:21:11,Samochód osobowy jako kierowca,POINT (16.9606245 51.1243316),435
150,150,93e10b8b-d5a1-450b-bf92-c13f19e39185,16.958892499999997,51.1283466,2019-10-28 06:40:43,Samochód osobowy jako pasażer,POINT (16.9588925 51.1283466),723
162,162,1ce95ce6-fe63-454e-8e4c-ff273c5c93a6,16.968219199999997,51.1263605,2019-10-28 07:35:49,Rower prywatny,POINT (16.9682192 51.1263605),756
166,166,13e4bdbb-6364-4e5f-826d-c55b41d6b7ac,16.9634681,51.122676899999995,2019-10-22 10:00:00,Rower prywatny,POINT (16.9634681 51.12267689999999),132
170,170,ae6881ce-69e1-408e-a567-0e77f5e8694b,16.9634681,51.122676899999995,2019-10-28 05:40:21,Rower prywatny,POINT (16.9634681 51.12267689999999),132
190,190,8e70e765-2127-415a-9e47-20d9b4ff3af0,16.962594,51.122743799999995,2019-10-29 06:00:04,Samochód osobowy jako kierowca,POINT (16.962594 51.12274379999999),132
198,198,9efd5886-db8d-4b9c-ab95-f9d35808743b,16.965861800000003,51.1291811,2019-10-29 06:20:09,Samochód osobowy jako kierowca,POINT (16.9658618 51.1291811),22
212,212,e4b6177b-fc64-4559-b371-26ef59763422,16.9728699,51.1251612,2019-10-29 11:15:33,Tramwaj,POINT (16.9728699 51.1251612),607
214,214,70dea79c-0259-4207-8883-073eeb4d8650,16.972179399999998,51.128501799999995,2019-10-29 06:03:02,Komunikacja autobusowa,POINT (16.9721794 51.1285018),42
220,220,0a3e714d-752f-4137-9d65-f7cfc97a45ae,16.9697476,51.126557700000006,2019-10-28 15:00:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
231,231,4324edc2-793b-4109-8b08-eb23cd9a7ebe,16.965529800000002,51.1303644,2019-10-30 12:10:00,Pieszo,POINT (16.9655298 51.1303644),684
238,238,2b701223-de99-44cb-851e-ace539d005d8,16.966649,51.1263937,2019-10-28 08:00:00,Tramwaj,POINT (16.966649 51.1263937),746
246,246,95c7cca7-18b5-4957-b442-e08f761aaa06,16.962687300000002,51.1283708,2019-11-01 07:00:57,Samochód osobowy jako kierowca,POINT (16.9626873 51.1283708),195
251,251,e374c6bf-f59c-4f8b-aaca-6e7a6cb3595b,16.9588172,51.1265201,2019-10-03 06:00:00,Rower prywatny,POINT (16.9588172 51.1265201),178
264,264,7aa5cc09-8f42-4e83-8d45-164124b00bc1,16.9697476,51.126557700000006,2019-11-03 16:58:12,Tramwaj,POINT (16.9697476 51.12655770000001),521
269,269,cb04c90f-89c5-41b2-9752-2af91eb6b0b2,16.966906899999998,51.1288926,2019-11-04 08:30:00,Samochód osobowy jako kierowca,POINT (16.9669069 51.1288926),617
273,273,2e48cf07-38a0-416b-883b-eed05e1aee89,16.9697476,51.126557700000006,2019-11-05 06:22:15,Pieszo,POINT (16.9697476 51.12655770000001),521
275,275,59b290e1-8f45-4ee6-b267-2cbcffb19e05,16.9697476,51.126557700000006,2019-11-06 07:50:22,Tramwaj,POINT (16.9697476 51.12655770000001),521
279,279,cc812b74-f6ef-4102-aacf-36a62be65019,16.969083899999998,51.1285278,2019-11-06 06:03:00,Komunikacja autobusowa,POINT (16.9690839 51.1285278),570
286,286,d5bbc43a-6240-4cd7-bc48-567cbc949f09,16.977892999999998,51.126854200000004,2019-11-07 08:23:50,Pieszo,POINT (16.977893 51.1268542),745
299,299,0b4d5bf0-62fc-4338-9549-ee5460c0a2bd,16.960061,51.124065,2019-11-06 07:27:00,Tramwaj,POINT (16.960061 51.124065),435
323,323,2da4cc12-577a-4361-b25a-33cc3fe2e2af,16.9688439,51.1275192,2019-11-07 05:30:00,Tramwaj,POINT (16.9688439 51.1275192),329
327,327,60ab9424-d972-4d9a-874e-8ca24ba74c77,16.95926,51.126315600000005,2019-11-08 10:15:00,Pieszo,POINT (16.95926 51.12631560000001),643
328,328,60ab9424-d972-4d9a-874e-8ca24ba74c77,16.965529800000002,51.1303644,2019-11-08 10:25:00,Pieszo,POINT (16.9655298 51.1303644),684
341,341,9155a2b8-d90d-4ce9-83e2-2529cdf14799,16.962594,51.122743799999995,2019-11-07 08:00:00,Rower prywatny,POINT (16.962594 51.12274379999999),132
343,343,a4731df8-a1ec-4e4a-acda-76c8643db9e6,16.9697476,51.126557700000006,2019-11-05 06:15:00,Komunikacja autobusowa,POINT (16.9697476 51.12655770000001),521
345,345,28324003-3062-441b-984a-1ff319ffc7c0,16.9647341,51.1291055,2019-11-07 09:00:00,Samochód osobowy jako kierowca,POINT (16.9647341 51.1291055),107
357,357,22c071c6-2d6e-453a-bf41-bb9595f37fe4,16.969399300000003,51.1258263,2019-11-12 06:00:48,Samochód osobowy jako kierowca,POINT (16.9693993 51.1258263),289
368,368,fddd0a9d-9bbe-4a74-8ae4-c04b8c9d7266,16.9702013,51.129427299999996,2019-11-12 08:10:00,Tramwaj,POINT (16.9702013 51.1294273),44
451,451,2d7f594b-3cad-48ff-84f6-f90d080dc4cd,16.9697476,51.126557700000006,2019-11-16 08:00:17,Pieszo,POINT (16.9697476 51.12655770000001),521
459,459,be14eb12-c0e5-40ae-b39c-6d71a64c9f12,16.975819935748667,51.1266204,2019-11-17 08:00:00,Tramwaj,POINT (16.97581993574867 51.1266204),496
463,463,538a3610-e8ce-444d-bff7-7b60c9706621,16.9669188,51.126711900000004,2019-11-14 08:00:00,Tramwaj,POINT (16.9669188 51.1267119),754
475,475,06663bf1-2aa9-49fb-8cee-7cdd268819a7,16.9635561,51.1292124,2019-11-14 05:55:00,Samochód osobowy jako pasażer,POINT (16.9635561 51.1292124),498
489,489,61560825-26ed-4ea7-a83f-657a7b347c62,16.9672558,51.1289909,2019-11-12 14:00:00,Samochód osobowy jako kierowca,POINT (16.9672558 51.1289909),617
491,491,181d9f69-e2d6-4cfb-95ce-f1c1feffc7bd,16.9646573,51.127761,2019-11-19 08:00:00,Tramwaj,POINT (16.9646573 51.127761),333
493,493,95384fd3-e87b-48db-8ed2-df5258fe62ab,16.9599315,51.1249391,2019-11-19 11:03:00,Samochód osobowy jako pasażer,POINT (16.9599315 51.1249391),385
499,499,8ac4cf6f-a56c-4069-bf48-56376ee84bb3,16.9672558,51.1289909,2019-11-19 06:05:00,Tramwaj,POINT (16.9672558 51.1289909),617
501,501,939b58cd-ec85-49af-961d-3bbf1b8a3057,16.969083899999998,51.1285278,2019-11-19 14:00:00,Tramwaj,POINT (16.9690839 51.1285278),570
503,503,ab847319-d557-481a-b802-3fd507c5a106,16.966906899999998,51.1288926,2019-11-19 14:34:00,Rower miejski,POINT (16.9669069 51.1288926),617
505,505,5098e2b4-b2c9-49cb-a48e-02c7ed394d09,16.969083899999998,51.1285278,2019-11-19 07:20:00,Tramwaj,POINT (16.9690839 51.1285278),570
507,507,5172cba7-b6d7-4c4a-9583-3121c297f966,16.9629854,51.127565600000004,2019-11-19 16:03:00,Tramwaj,POINT (16.9629854 51.1275656),480
509,509,0a6e460b-dfc6-4ded-b13e-7e7eedc2c522,16.966317999999998,51.1293336,2019-11-19 09:00:00,Tramwaj,POINT (16.966318 51.1293336),22
511,511,586ad0e4-ac4c-4e9a-9aa1-4b3adf96843d,16.9709042,51.122286100000004,2019-11-19 10:00:00,Komunikacja autobusowa,POINT (16.9709042 51.1222861),474
519,519,1f0d551e-40c0-4901-830a-719e38b01077,16.9585158,51.127615000000006,2019-11-18 07:04:00,Komunikacja autobusowa,POINT (16.9585158 51.12761500000001),75
543,543,b9537def-b47a-41b0-8a3e-0e80b1e3e9fc,16.971962100000002,51.125582200000004,2019-11-18 16:20:00,Samochód osobowy jako kierowca,POINT (16.9719621 51.1255822),235
545,545,a4a3c263-326d-45c7-97c8-481758b8b7ef,16.96240609525885,51.13107515,2019-11-18 19:30:00,Pieszo,POINT (16.96240609525885 51.13107515),735
546,546,a4a3c263-326d-45c7-97c8-481758b8b7ef,16.964161800000003,51.1269558,2019-11-18 19:40:00,Pieszo,POINT (16.9641618 51.1269558),304
551,551,99e15785-a232-4eed-a841-12ee5320d5c7,16.957601800000003,51.126650500000004,2019-11-19 08:00:00,Komunikacja autobusowa,POINT (16.9576018 51.1266505),210
553,553,996a94be-b5e7-4767-a942-675cff07c483,16.9622092,51.128617299999995,2019-11-20 07:00:34,Rower prywatny,POINT (16.9622092 51.12861729999999),392
554,554,996a94be-b5e7-4767-a942-675cff07c483,16.9704755,51.1227904,2019-11-20 07:05:34,Rower prywatny,POINT (16.9704755 51.1227904),813
575,575,3923ef2c-070c-4062-b560-837793569835,16.961288800000002,51.128181899999994,2019-11-20 06:25:28,Rower prywatny,POINT (16.9612888 51.12818189999999),280
585,585,2c7f6681-a7fd-4377-9530-0dab0b3e4fce,16.964503,51.12256,2019-11-20 05:21:12,Komunikacja autobusowa,POINT (16.964503 51.12256),801
589,589,7adc9799-19c4-4b00-82ea-80c8d04cb428,16.9707581,51.1219943,2019-11-20 08:00:00,Samochód osobowy jako kierowca,POINT (16.9707581 51.1219943),474
623,623,db9bda4e-20dc-465f-b473-78f744efbcb6,16.960061,51.124065,2019-11-21 07:45:48,Samochód osobowy jako kierowca,POINT (16.960061 51.124065),435
625,625,d03aae9a-ee01-48b7-8dba-11d3dd8824bc,16.9664146,51.122911200000004,2019-11-18 07:30:00,Pieszo,POINT (16.9664146 51.1229112),803
629,629,5e06ef6a-f5d7-4866-a5cc-50917dae7d15,16.9707581,51.1219943,2019-11-18 05:50:00,Komunikacja autobusowa,POINT (16.9707581 51.1219943),474
631,631,965b338f-8105-43f1-9df4-f476cd7ee6f6,16.971268600000002,51.1278905,2019-11-22 13:00:40,Tramwaj,POINT (16.9712686 51.1278905),513
633,633,ce73eda2-e2d4-4ad7-bf5f-2cbcb5c26088,16.9686035,51.1220217,2019-11-19 07:20:00,Samochód osobowy jako pasażer,POINT (16.9686035 51.1220217),806
649,649,20dbbf2a-65a1-430e-a565-f845c6ebe1d6,16.9608293,51.123380700000006,2019-11-21 06:40:00,Komunikacja autobusowa,POINT (16.9608293 51.12338070000001),670
651,651,93363654-d5ec-4125-bffe-7f4f15289f84,16.9630277,51.122910499999996,2019-11-21 08:00:00,Samochód osobowy jako kierowca,POINT (16.9630277 51.1229105),132
653,653,b600266d-db47-4d97-acc7-2c90494a3a63,16.970900699999998,51.1235443,2019-11-22 10:40:00,Taksówka,POINT (16.9709007 51.1235443),726
658,658,e5fb9f0a-fb68-4650-bed2-f6f90b74f16e,16.965529800000002,51.1303644,2019-11-23 12:10:31,Pieszo,POINT (16.9655298 51.1303644),684
659,659,9b0e77ad-5f60-466b-aebc-35bd40af5284,16.968219199999997,51.1263605,2019-11-20 08:00:00,Pieszo,POINT (16.9682192 51.1263605),756
660,660,9b0e77ad-5f60-466b-aebc-35bd40af5284,16.975819935748667,51.1266204,2019-11-20 08:10:00,Pieszo,POINT (16.97581993574867 51.1266204),496
669,669,7614449c-09dd-497b-9162-4031ebe472d8,16.969399300000003,51.1258263,2019-11-22 06:30:00,Tramwaj,POINT (16.9693993 51.1258263),289
675,675,a6ce4567-963d-4cc5-ac99-de6285f2c3ef,16.971590399999997,51.126168,2019-11-20 06:20:00,Tramwaj,POINT (16.9715904 51.126168),395
677,677,6410db3c-bfe0-42d3-9850-359efb0eb849,16.9598772,51.1256777,2019-11-21 06:35:00,Samochód osobowy jako kierowca,POINT (16.9598772 51.1256777),730
679,679,577c1ad7-2a71-44a5-bdee-16473d8e01fa,16.9722857,51.127770500000004,2019-11-22 05:55:00,Samochód osobowy jako kierowca,POINT (16.9722857 51.1277705),637
682,682,6b525a06-e168-4ba0-a641-a48f0ba8b6a2,16.977892999999998,51.126854200000004,2019-11-22 06:18:00,Samochód osobowy jako kierowca,POINT (16.977893 51.1268542),745
685,685,feed4a16-9bee-44d1-b0ba-5507c17118e0,16.973084,51.1275287,2019-11-21 06:50:00,Komunikacja autobusowa,POINT (16.973084 51.1275287),637
689,689,e39cbce2-5f75-4366-813c-ace235e7e3d0,16.963867999999998,51.129033299999996,2019-11-21 07:40:00,Tramwaj,POINT (16.963868 51.1290333),498
707,707,0112430f-b9e8-4f5d-b9ba-deb0ffe63c64,16.9591797,51.1268743,2019-11-25 06:24:40,Rower prywatny,POINT (16.9591797 51.1268743),38
708,708,0112430f-b9e8-4f5d-b9ba-deb0ffe63c64,16.9704755,51.1227904,2019-11-25 06:34:40,Rower prywatny,POINT (16.9704755 51.1227904),813
711,711,9506573f-4432-4c32-9274-108fbf593f75,16.9639738,51.1258111,2019-11-19 07:50:00,Komunikacja autobusowa,POINT (16.9639738 51.1258111),414
713,713,8c9daca1-b92a-41e9-8240-82d10a045d6b,16.9599315,51.1249391,2019-11-19 10:00:00,Tramwaj,POINT (16.9599315 51.1249391),385
715,715,9c9d49d2-18ac-4f2d-836f-d8a35390d3d2,16.966317999999998,51.1293336,2019-11-19 06:00:00,Tramwaj,POINT (16.966318 51.1293336),22
717,717,c8bf5253-190a-4565-ad65-22b7125932a3,16.9613455,51.125628000000006,2019-11-26 06:00:00,Komunikacja autobusowa,POINT (16.9613455 51.12562800000001),519
719,719,cfd4a32f-558f-467f-8d8e-20d8bb46f5ee,16.961177399999997,51.1255316,2019-11-19 06:40:00,Komunikacja autobusowa,POINT (16.9611774 51.1255316),35
721,721,d31850ca-be7f-476c-8868-fee219144d5d,16.9688882,51.123918100000004,2019-11-19 13:40:00,Samochód osobowy jako kierowca,POINT (16.9688882 51.1239181),811
723,723,d06552d8-cc2c-4310-9070-42444af052fe,16.9639509,51.126534899999996,2019-11-26 06:45:00,Tramwaj,POINT (16.9639509 51.1265349),185
724,724,e54e9fd9-7ba5-43d4-bf18-9dc4c0956466,16.9637222,51.1233266,2019-11-22 07:00:00,Samochód osobowy jako pasażer,POINT (16.9637222 51.1233266),801
731,731,08ca27fa-835b-4a40-aa1a-9aa8dee48afb,16.975819935748667,51.1266204,2019-11-19 08:45:00,Pieszo,POINT (16.97581993574867 51.1266204),496
732,732,a3d9aac5-703d-435a-825c-cf78a3f7186a,16.9692302,51.1255763,2019-11-27 09:00:40,Tramwaj,POINT (16.9692302 51.1255763),260
740,740,3f67e74c-a03f-40af-a08b-c896063875d5,16.968336899999997,51.1220226,2019-11-27 05:00:29,Samochód osobowy jako kierowca,POINT (16.9683369 51.1220226),806
746,746,13a6165b-fe9b-4cb6-a517-060d34e91e73,16.9658412,51.126945899999996,2019-11-27 17:30:58,Samochód osobowy jako kierowca,POINT (16.9658412 51.1269459),739
747,747,13a6165b-fe9b-4cb6-a517-060d34e91e73,16.9658412,51.126945899999996,2019-11-27 17:50:58,Samochód osobowy jako kierowca,POINT (16.9658412 51.1269459),739
748,748,5a74db3d-4f04-46b4-83ed-57ac49660e0b,16.9658412,51.126945899999996,2019-11-26 09:30:00,Taksówka,POINT (16.9658412 51.1269459),739
752,752,753c372c-ebf7-40a6-aac7-3880d16dc4ea,16.9638253,51.1264047,2019-10-27 11:50:00,Komunikacja autobusowa,POINT (16.9638253 51.1264047),414
763,763,ab03ad9e-1dcd-4e31-8479-80f85c0520bd,16.9591797,51.1268743,2019-10-25 14:20:00,Samochód osobowy jako kierowca,POINT (16.9591797 51.1268743),38
771,771,b849925a-1763-4947-8ca6-54fe8314faff,16.9697476,51.126557700000006,2019-10-27 20:00:03,Taksówka,POINT (16.9697476 51.12655770000001),521
791,791,a450746d-5e01-401e-9806-4fded7c7a971,16.965529800000002,51.1303644,2019-10-25 14:30:00,Tramwaj,POINT (16.9655298 51.1303644),684
793,793,bce6073c-b1b5-4012-be1d-917a78801f24,16.964517100000002,51.1275413,2019-10-24 15:15:00,Samochód osobowy jako pasażer,POINT (16.9645171 51.1275413),736
803,803,6353b0f3-6113-40be-a744-24312858f811,16.9612924,51.1245834,2019-10-24 13:05:00,Samochód osobowy jako kierowca,POINT (16.9612924 51.1245834),306
814,814,99bba70c-5048-48b7-8538-342957debfd5,16.9660793,51.123142200000004,2019-10-25 06:20:00,Samochód osobowy jako kierowca,POINT (16.9660793 51.1231422),803
828,828,0cbe03d2-7f81-4e8e-8362-cea8b76d3a44,16.9697476,51.126557700000006,2019-10-28 22:04:17,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
865,865,c772548b-c9b0-437c-b9a4-c2edfa3d7c2a,16.968219199999997,51.1263605,2019-10-28 16:42:49,Rower prywatny,POINT (16.9682192 51.1263605),756
867,867,4c0b913b-570d-4911-be1a-68a76be764e8,16.965529800000002,51.1303644,2019-10-28 15:10:21,Rower prywatny,POINT (16.9655298 51.1303644),684
889,889,c846b140-e821-4107-b29f-af392913303a,16.9647341,51.1291055,2019-10-29 15:58:32,Samochód osobowy jako kierowca,POINT (16.9647341 51.1291055),107
895,895,f135d747-a5f9-49ad-af7f-0b447214495c,16.972179399999998,51.128501799999995,2019-10-29 13:45:02,Komunikacja autobusowa,POINT (16.9721794 51.1285018),42
915,915,398ff17b-8c72-4959-abd0-f795d072993b,16.9588172,51.1265201,2019-10-03 14:12:00,Rower prywatny,POINT (16.9588172 51.1265201),178
941,941,b7aee8c5-1cdd-46f3-996b-33d81067d13a,16.960061,51.124065,2019-11-06 10:30:00,Tramwaj,POINT (16.960061 51.124065),435
945,945,fe724f90-6869-4526-9e96-16862230f2ab,16.975819935748667,51.1266204,2019-11-08 15:05:00,Tramwaj,POINT (16.97581993574867 51.1266204),496
967,967,10bea0fd-32b8-46a4-b681-a1daee05ff2a,16.9697476,51.126557700000006,2019-11-05 16:43:00,Komunikacja autobusowa,POINT (16.9697476 51.12655770000001),521
1035,1035,39620230-857a-4b0e-8f7a-8f58ff5e0918,16.9669188,51.126711900000004,2019-11-14 16:55:00,Tramwaj,POINT (16.9669188 51.1267119),754
1074,1074,ae46f74b-268b-475c-b5f7-85ce43592000,16.964161800000003,51.1269558,2019-11-18 20:20:00,Samochód osobowy jako kierowca,POINT (16.9641618 51.1269558),304
1083,1083,a947467c-2fb8-4881-8b24-316d226d0c6b,16.9702013,51.129427299999996,2019-11-19 16:33:00,Tramwaj,POINT (16.9702013 51.1294273),44
1084,1084,48320a48-7cfa-466b-8e5a-eff7f36dc2cf,16.9704755,51.1227904,2019-11-20 14:30:34,Rower prywatny,POINT (16.9704755 51.1227904),813
1089,1089,06f93e63-c8bc-4d99-b08e-09973e14d760,16.968219199999997,51.1263605,2019-11-19 15:35:00,Samochód osobowy jako kierowca,POINT (16.9682192 51.1263605),756
1103,1103,f215599b-3e89-47f5-b5c1-3ba05d725537,16.9697476,51.126557700000006,2019-11-20 08:15:08,Rower prywatny,POINT (16.9697476 51.12655770000001),521
1129,1129,c892e3f0-49f5-498e-912a-96b8a10a83ca,16.960061,51.124065,2019-11-21 17:30:48,Samochód osobowy jako kierowca,POINT (16.960061 51.124065),435
1135,1135,33e10c14-c738-493c-9554-0ad82bbfab2a,16.9686035,51.1220217,2019-11-19 18:22:00,Samochód osobowy jako kierowca,POINT (16.9686035 51.1220217),806
1138,1138,540b3439-c490-4ec9-9670-6711bb3c9712,16.960014800000003,51.12653579999999,2019-11-23 16:13:23,Samochód osobowy jako pasażer,POINT (16.9600148 51.12653579999999),597
1141,1141,6cec5023-f336-4a1e-9719-7e7a9026c66c,16.9630277,51.122910499999996,2019-11-21 15:45:00,Samochód osobowy jako kierowca,POINT (16.9630277 51.1229105),132
1150,1150,694410ae-a4ed-4326-bb6a-9e88b1ba7db8,16.968219199999997,51.1263605,2019-11-20 08:00:00,Pieszo,POINT (16.9682192 51.1263605),756
1161,1161,47d5ad1e-cf70-4c37-b3b3-ad028433e959,16.971590399999997,51.126168,2019-11-20 14:40:00,Tramwaj,POINT (16.9715904 51.126168),395
